Date,Regime
2010-12-31,Peak
2011-01-31,Peak
2011-02-28,Peak
2011-03-31,Peak
2011-04-30,Expansion
2011-12-31,Recovery
2012-01-31,Recovery
2012-02-29,Expansion
2012-03-31,Peak
2012-04-30,Expansion
2012-12-31,Expansion
2013-01-31,Expansion
2013-02-28,Peak
2013-03-31,Expansion
2013-04-30,Recovery
2013-12-31,Expansion
2014-01-31,Expansion
2014-02-28,Expansion
2014-03-31,Expansion
2014-04-30,Expansion
2014-12-31,Recovery
2015-01-31,Recovery
2015-02-28,Recovery
2015-03-31,Recovery
2015-04-30,Recovery
2015-12-31,Recovery
2016-01-31,Recovery
2016-02-29,Recovery
2016-03-31,Expansion
2016-04-30,Expansion
2016-12-31,Peak
2017-01-31,Peak
2017-02-28,Peak
2017-03-31,Expansion
2017-04-30,Expansion
2017-12-31,Peak
2018-01-31,Peak
2018-02-28,Peak
2018-03-31,Peak
2018-04-30,Peak
2018-12-31,Expansion
2019-01-31,Expansion
2019-02-28,Expansion
2019-03-31,Expansion
2019-04-30,Expansion
2019-12-31,Peak
2020-01-31,Peak
2020-02-29,Recovery
2020-03-31,Contraction
2020-04-30,Contraction
2020-12-31,Expansion
2021-01-31,Expansion
2021-02-28,Expansion
2021-03-31,Peak
2021-04-30,Peak
2021-12-31,Peak
2022-01-31,Peak
2022-03-31,Peak
2022-04-30,Peak
2022-12-31,Expansion
2023-01-31,Expansion
2023-02-28,Expansion
2023-03-31,Expansion
2023-04-30,Expansion
2023-12-31,Expansion
2024-12-31,Peak
2025-01-31,Peak
2025-02-28,Peak
2025-03-31,Expansion
2025-04-30,Expansion
