Sector,Regime,Sharpe_Ratio,Max_Drawdown,VaR_95,VaR_99,Months
Nifty_50,All Regimes,0.3561008434013575,-0.29343919217321485,-0.06050603762147765,-0.13756804097659542,74
Nifty_Bank,All Regimes,0.3818908201329795,-0.4136583458535235,-0.09658571662441784,-0.16677999490535564,74
Nifty_IT,All Regimes,0.11507248032642162,-0.3520692203251366,-0.10926612340487334,-0.16134040967937296,74
Nifty_Pharma,All Regimes,0.5123249801355862,-0.2660202479637866,-0.07446991744681009,-0.07987270351544791,72
Nifty_Auto,All Regimes,0.35484244514218805,-0.4897722290476897,-0.09364030311103963,-0.200148043762879,69
Nifty_FMCG,All Regimes,0.7223418057823291,-0.20062045171760295,-0.04980507375774121,-0.10099787468788962,72
Nifty_Metal,All Regimes,0.318941438114198,-0.49081712764926555,-0.12367437870817012,-0.22013126288965007,69
Nifty_Realty,All Regimes,0.1983516125595807,-0.4698685803614837,-0.15181143635548808,-0.26671616500922535,74
Nifty_Energy,All Regimes,0.46790457801066937,-0.3146841223791373,-0.08630553656528599,-0.1348997441531285,72
Nifty_Infra,All Regimes,0.22875214685982717,-0.3509639777458631,-0.10838307291405623,-0.14920822996947267,74
Nifty_PSE,All Regimes,0.43108962899315206,-0.3286038299706574,-0.08724329479247155,-0.14655192495293606,72
Nifty_Media,All Regimes,-0.4546368782801331,-0.6974488998172587,-0.1233840397527093,-0.2248970724192048,69
Nifty_50,Peak,0.2066135208728539,-0.1346387867880113,-0.05785286668581133,-0.08982281453916323,30
Nifty_Bank,Peak,0.09847258095048037,-0.15759532896441356,-0.09019567592040639,-0.09708902771863556,30
Nifty_IT,Peak,0.2542133582329551,-0.3411002906301912,-0.11397397301757137,-0.12811204434358503,30
Nifty_Pharma,Peak,-0.01275311666881737,-0.15860364255038586,-0.07625314932981107,-0.08219279546924955,28
Nifty_Auto,Peak,0.5027959867276244,-0.12281254403579592,-0.04655935629932668,-0.09035155054919394,25
Nifty_FMCG,Peak,0.666143118993258,-0.13839958708292877,-0.04168356328769082,-0.08916743943764575,28
Nifty_Metal,Peak,0.8668723406675194,-0.19340518081287503,-0.11308146853389707,-0.14210274659700445,25
Nifty_Realty,Peak,-0.2537848609860487,-0.4071049205925445,-0.13116462600419557,-0.19993566181510639,30
Nifty_Energy,Peak,0.3135001735918088,-0.1991304877066346,-0.07685161826745096,-0.10431463541467222,28
Nifty_Infra,Peak,-0.15706627580973045,-0.27194155399257397,-0.0929921945628022,-0.11479912883268484,30
Nifty_PSE,Peak,-0.018450091136351668,-0.21841299828478503,-0.07731795819843555,-0.11660413658864821,28
Nifty_Media,Peak,-0.7407051581594378,-0.4478804806922346,-0.12364052984643177,-0.12908393587065337,25
